streams_sd	online_advertising	customer_rating	streams_hd	movieID	genre	academy_award
3375	0	4	2156	1	1	1
2945	0	4	1856	2	1	1
3395	1	4	2073	3	1	1
3927	1	4	1123	4	1	0
3259	1	3	3092	5	1	1
1463	0	3	1630	6	1	1
2482	1	4	2412	7	1	1
2962	0	5	1935	8	1	1
2496	0	5	1097	9	1	1
3670	1	5	2248	10	1	0
2816	0	5	1326	11	1	1
2772	1	4	3037	12	1	1
1929	0	3	1392	13	1	0
3242	1	5	1743	14	1	1
2985	0	4	1542	15	1	1
2333	1	2	1738	16	1	0
4581	1	5	2434	17	1	1
2527	0	4	1897	18	1	1
1069	0	1	1237	19	1	0
3519	1	5	2596	20	1	1
1821	0	4	1993	21	1	1
3513	1	4	2214	22	1	1
2661	0	4	1375	23	1	0
2714	1	3	2934	24	1	1
2880	0	4	2227	25	1	1
2270	0	4	2159	26	1	1
2878	1	5	2378	27	1	1
1813	0	2	610	28	1	0
3326	0	5	2217	29	1	1
1179	0	1	1557	30	1	1
4199	1	4	2642	31	1	1
1076	0	2	1279	32	1	0
1175	0	2	1620	33	1	1
4514	1	3	2586	34	1	1
2231	1	3	2510	35	1	1
2673	1	5	2355	36	1	0
992	0	1	896	37	2	0
2826	1	5	1754	38	2	0
4016	1	4	2351	39	2	1
2628	1	3	2908	40	2	0
1259	0	1	1428	41	2	1
1693	0	3	1472	42	2	1
3628	0	5	605	43	2	1
1010	0	1	2407	44	2	1
996	0	1	1175	45	2	0
3110	1	3	1512	46	2	1
1446	0	3	1550	47	2	1
3271	1	5	1324	48	2	1
3370	1	4	1457	49	2	1
3071	0	5	1691	50	2	1
1036	0	1	1872	51	2	0
5252	1	4	1209	52	2	0
2200	0	3	2517	53	2	1
4205	0	5	723	54	2	0
1430	0	2	1366	55	2	0
1686	0	2	1347	56	2	1
1581	1	1	1182	57	2	0
3496	1	5	2647	58	2	1
1101	0	1	1984	59	2	0
4424	1	2	649	60	2	0
5359	1	4	1077	61	2	1
3310	0	4	949	62	2	1
2629	1	5	2710	63	2	1
2751	0	3	798	64	2	1
2608	0	3	1424	65	2	0
2409	1	2	828	66	2	1
3127	1	4	2487	67	2	0
3652	1	4	1973	68	2	1
5622	1	5	2578	69	2	0
2980	0	5	1422	70	2	1
3580	1	3	1068	71	2	1
2851	1	3	2743	72	2	0
1868	1	4	2421	73	2	1
3515	1	4	1969	74	2	1
2901	0	5	1499	75	2	0
2370	0	4	1470	76	2	1
4579	1	5	2137	77	2	0
3997	1	3	1802	78	2	0
3897	1	5	1874	79	2	0
3409	1	4	1589	80	2	1
2197	0	3	1301	81	2	1
4137	1	3	2709	82	2	0
4029	1	5	2974	83	3	1
2394	1	1	1777	84	3	1
2755	0	3	1242	85	3	0
2023	1	2	1158	86	3	1
2321	0	4	1178	87	3	0
1794	0	3	1168	88	3	1
4336	1	5	2604	89	3	1
3736	1	5	2481	90	3	0
5042	1	5	930	91	3	0
