song_id,week,streams,release_date,weeks_since_release,playlist_follower,radio,adspend,genre
1,2017-01-02,125,2013-01-14,207,8309,0,0,rock
1,2017-01-09,147,2013-01-14,208,8501,0,0,rock
1,2017-01-16,170,2013-01-14,209,8672,0,0,rock
1,2017-01-23,181,2013-01-14,210,8894,0,0,rock
1,2017-01-30,192,2013-01-14,211,9095,0,0,rock
1,2017-02-06,163,2013-01-14,212,9296,0,0,rock
1,2017-02-13,232,2013-01-14,213,9490,0,0,rock
1,2017-02-20,198,2013-01-14,214,9688,0,0,rock
1,2017-02-27,204,2013-01-14,215,9954,0,0,rock
1,2017-03-06,176,2013-01-14,216,10085,0,0,rock
1,2017-03-13,201,2013-01-14,217,10282,0,0,rock
1,2017-03-20,222,2013-01-14,218,10493,0,0,rock
1,2017-03-27,185,2013-01-14,219,10702,0,0,rock
1,2017-04-03,237,2013-01-14,220,10891,0,0,rock
1,2017-04-10,235,2013-01-14,221,11084,0,0,rock
1,2017-04-17,205,2013-01-14,222,11297,0,0,rock
1,2017-04-24,207,2013-01-14,223,11536,0,0,rock
1,2017-05-01,181,2013-01-14,224,11716,0,0,rock
1,2017-05-08,167,2013-01-14,225,11948,0,0,rock
1,2017-05-15,191,2013-01-14,226,12149,0,0,rock
1,2017-05-22,168,2013-01-14,227,12400,0,0,rock
1,2017-05-29,158,2013-01-14,228,12640,0,0,rock
1,2017-06-05,179,2013-01-14,229,12854,0,0,rock
1,2017-06-12,162,2013-01-14,230,13058,0,0,rock
1,2017-06-19,150,2013-01-14,231,13282,0,0,rock
1,2017-06-26,162,2013-01-14,232,13491,0,0,rock
1,2017-07-03,182,2013-01-14,233,13702,0,0,rock
1,2017-07-10,224,2013-01-14,234,13890,0,0,rock
1,2017-07-17,193,2013-01-14,235,14121,0,0,rock
1,2017-07-24,178,2013-01-14,236,14348,0,0,rock
1,2017-07-31,238,2013-01-14,237,14589,0,0,rock
1,2017-08-07,227,2013-01-14,238,14932,0,0,rock
1,2017-08-14,210,2013-01-14,239,15043,0,0,rock
1,2017-08-21,196,2013-01-14,240,15222,0,0,rock
1,2017-08-28,203,2013-01-14,241,15357,0,0,rock
1,2017-09-04,198,2013-01-14,242,15567,0,0,rock
1,2017-09-11,199,2013-01-14,243,15788,0,0,rock
1,2017-09-18,218,2013-01-14,244,16007,0,0,rock
1,2017-09-25,211,2013-01-14,245,16300,0,0,rock
1,2017-10-02,178,2013-01-14,246,16491,0,0,rock
1,2017-10-09,220,2013-01-14,247,16698,0,0,rock
1,2017-10-16,303,2013-01-14,248,16944,0,0,rock
1,2017-10-23,265,2013-01-14,249,17183,0,0,rock
1,2017-10-30,329,2013-01-14,250,17416,0,0,rock
1,2017-11-06,580,2013-01-14,251,17926,0,0,rock
1,2017-11-13,537,2013-01-14,252,18431,0,0,rock
1,2017-11-20,583,2013-01-14,253,18808,0,0,rock
