"","eta","max_depth","min_child_weight","subsample","colsample_bytree","gamma","lambda","alpha","rmse","trees"
"1",0.01,5,3,0.5,0.5,0,0.1,0,21553.3529296,3497
"2",0.01,5,3,0.5,0.5,1,0.1,0,21553.3529296,3497
"3",0.01,5,3,0.5,0.5,10,0.1,0,21553.3529296,3497
"4",0.01,5,3,0.5,0.5,100,0.1,0,21553.3529296,3497
"5",0.01,5,3,0.5,0.5,1000,0.1,0,21553.528125,3458
"6",0.01,5,3,0.5,0.5,1,0.01,0,21584.6935546,3292
"7",0.01,5,3,0.5,0.5,10,0.01,0,21584.6935546,3292
"8",0.01,5,3,0.5,0.5,100,0.01,0,21584.6935546,3292
"9",0.01,5,3,0.5,0.5,1000,0.01,0,21584.6935546,3292
"10",0.01,5,3,0.5,0.5,0,0.01,0,21584.6937499,3292
"11",0.01,5,3,0.5,0.5,10,1,0,21670.883789,3284
"12",0.01,5,3,0.5,0.5,0,1,0,21670.8839843,3284
"13",0.01,5,3,0.5,0.5,1,1,0,21670.8839843,3284
"14",0.01,5,3,0.5,0.5,100,1,0,21670.8839843,3284
"15",0.01,5,3,0.5,0.5,1000,1,0,21670.8839843,3284
"16",0.01,3,3,0.5,0.5,0,0.01,0,21716.6945312,4000
"17",0.01,3,3,0.5,0.5,1,0.01,0,21716.6945312,4000
"18",0.01,3,3,0.5,0.5,10,0.01,0,21716.6945312,4000
"19",0.01,3,3,0.5,0.5,100,0.01,0,21716.6945312,4000
"20",0.01,3,3,0.5,0.5,1000,0.01,0,21716.6945312,4000
"21",0.01,3,3,0.5,0.5,0,0,0,21729.7134765,4000
"22",0.01,3,3,0.5,0.5,1,0,0,21729.7136718,4000
"23",0.01,3,3,0.5,0.5,10,0,0,21729.7136718,4000
"24",0.01,3,3,0.5,0.5,100,0,0,21729.7136718,4000
"25",0.01,3,3,0.5,0.5,1000,0,0,21729.7136718,4000
"26",0.01,3,3,0.5,0.5,100,0.1,0,21751.7259766,4000
"27",0.01,3,3,0.5,0.5,0,0.1,0,21751.7261719,4000
"28",0.01,3,3,0.5,0.5,1,0.1,0,21751.7261719,4000
"29",0.01,3,3,0.5,0.5,10,0.1,0,21751.7261719,4000
"30",0.01,3,3,0.5,0.5,1000,0.1,0,21751.7263672,4000
"31",0.01,5,3,0.5,0.5,0,0,0,21760.8128908,2897
"32",0.01,5,3,0.5,0.5,1,0,0,21760.8128908,2897
"33",0.01,5,3,0.5,0.5,10,0,0,21760.8128908,2897
"34",0.01,5,3,0.5,0.5,100,0,0,21760.8128908,2897
"35",0.01,5,3,0.5,0.5,1000,0,0,21760.8128908,2897
"36",0.01,3,3,0.5,0.5,0,1,0,21770.7425781,4000
"37",0.01,3,3,0.5,0.5,1,1,0,21770.7425781,4000
"38",0.01,3,3,0.5,0.5,10,1,0,21770.7425781,4000
"39",0.01,3,3,0.5,0.5,100,1,0,21770.7425781,4000
"40",0.01,3,3,0.5,0.5,1000,1,0,21770.7425781,4000
"41",0.01,7,3,0.5,0.5,0,0.1,0,22134.9083984,2585
"42",0.01,7,3,0.5,0.5,1,0.1,0,22134.9083984,2585
"43",0.01,7,3,0.5,0.5,10,0.1,0,22134.9083984,2585
"44",0.01,7,3,0.5,0.5,100,0.1,0,22134.9083984,2585
"45",0.01,7,3,0.5,0.5,1000,0.1,0,22134.9083984,2585
"46",0.01,7,3,0.5,0.5,0,1,0,22200.3535157,2192
"47",0.01,7,3,0.5,0.5,1,1,0,22200.3535157,2192
"48",0.01,7,3,0.5,0.5,100,1,0,22200.3535157,2192
"49",0.01,7,3,0.5,0.5,10,1,0,22200.353711,2192
"50",0.01,7,3,0.5,0.5,1000,1,0,22202.7113281,2192
"51",0.01,7,3,0.5,0.5,100,0.01,0,22305.2951172,2398
"52",0.01,7,3,0.5,0.5,0,0.01,0,22305.2953125,2398
"53",0.01,7,3,0.5,0.5,1,0.01,0,22305.2953125,2398
"54",0.01,7,3,0.5,0.5,10,0.01,0,22305.2953125,2398
"55",0.01,7,3,0.5,0.5,1000,0.01,0,22305.2953125,2398
"56",0.01,7,3,0.5,0.5,0,0,0,22324.0199219,2425
"57",0.01,7,3,0.5,0.5,1,0,0,22324.0199219,2425
"58",0.01,7,3,0.5,0.5,10,0,0,22324.0199219,2425
"59",0.01,7,3,0.5,0.5,100,0,0,22324.0199219,2425
"60",0.01,7,3,0.5,0.5,1000,0,0,22324.0199219,2425
"61",0.3,3,3,0.5,0.5,0,1000,0,23558.0677735,2363
"62",0.3,3,3,0.5,0.5,1,1000,0,23558.0677735,2363
"63",0.3,5,3,0.5,0.5,0,1000,0,23596.9542969,2944
"64",0.3,5,3,0.5,0.5,1,1000,0,23596.9542969,2944
"65",0.01,5,3,0.5,0.5,1000,100,0,23790.9638672,4000
"66",0.01,5,3,0.5,0.5,1,100,0,23790.9695313,4000
"67",0.01,5,3,0.5,0.5,0,100,0,23790.9697266,4000
"68",0.01,5,3,0.5,0.5,10,100,0,23790.9699219,4000
"69",0.01,5,3,0.5,0.5,100,100,0,23790.9699219,4000
"70",0.01,7,3,0.5,0.5,1000,100,0,23974.4351563,3999
"71",0.01,7,3,0.5,0.5,0,100,0,23977.5283203,3999
"72",0.01,7,3,0.5,0.5,1,100,0,23977.5283203,3999
"73",0.01,7,3,0.5,0.5,10,100,0,23977.5283203,3999
"74",0.01,7,3,0.5,0.5,100,100,0,23977.6029296,3999
"75",0.01,3,3,0.5,0.5,0,100,0,24088.1220704,4000
"76",0.01,3,3,0.5,0.5,1,100,0,24088.1220704,4000
"77",0.01,3,3,0.5,0.5,10,100,0,24088.1220704,4000
"78",0.01,3,3,0.5,0.5,100,100,0,24088.1220704,4000
"79",0.01,3,3,0.5,0.5,1000,100,0,24088.1220704,4000
"80",0.5,3,3,0.5,0.5,0,1000,0,24093.0476563,1490
"81",0.5,3,3,0.5,0.5,1,1000,0,24093.0478516,1490
"82",0.3,7,3,0.5,0.5,0,1000,0,24241.7904299,1724
"83",0.3,7,3,0.5,0.5,1,1000,0,24241.7904299,1724
"84",0.3,3,3,0.5,0.5,1,100,0,24451.3554687,591
"85",0.3,3,3,0.5,0.5,100,100,0,24451.3554687,591
"86",0.3,3,3,0.5,0.5,0,100,0,24451.355664,591
"87",0.3,3,3,0.5,0.5,10,100,0,24451.355664,591
"88",0.3,3,3,0.5,0.5,1000,100,0,24451.355664,591
"89",0.5,7,3,0.5,0.5,0,1000,0,24603.1925783,1985
"90",0.5,7,3,0.5,0.5,1,1000,0,24628.0876953,1864
"91",0.5,5,3,0.5,0.5,0,1000,0,24694.4634766,946
"92",0.5,5,3,0.5,0.5,1,1000,0,24694.4634766,946
"93",0.3,5,3,0.5,0.5,0,100,0,24968.6,562
