streams_sd	online_advertising	customer_rating	streams_hd	movieID	genre	academy_award
2720	1	5	2375	1	1	0
2931	1	3	1107	2	1	1
2612	1	4	2731	3	1	1
3414	1	5	1598	4	1	1
3483	1	2	1833	5	1	1
2239	0	3	1217	6	1	1
954	0	1	815	7	1	0
2964	0	4	2409	8	1	0
4050	1	4	534	9	1	0
2618	0	3	1422	10	1	1
1107	0	1	2205	11	1	1
3321	1	2	1115	12	1	1
2467	0	2	1705	13	1	0
3194	0	5	1206	14	1	1
3119	1	4	1320	15	1	1
2605	0	4	1635	16	1	1
1962	0	2	1217	17	1	1
1240	0	2	1019	18	1	0
3154	1	2	2371	19	1	1
4057	1	3	1351	20	1	1
4103	1	3	1714	21	1	1
2116	0	5	2304	22	1	1
1505	0	2	1210	23	1	0
3531	1	3	2092	24	1	1
2372	1	2	2026	25	1	1
934	0	1	1376	26	1	0
2929	0	5	1526	27	1	1
2343	0	4	1212	28	1	1
2688	0	5	2049	29	1	1
3514	1	5	1650	30	1	1
3924	1	5	1231	31	1	1
989	0	1	674	32	1	1
2587	1	4	2792	33	1	1
882	0	1	1954	34	1	0
357	1	5	4196	35	1	1
2846	0	4	1821	36	1	1
1360	0	1	2217	37	2	0
1555	0	3	1545	38	2	0
2094	1	3	2225	39	2	1
3098	0	5	886	40	2	1
3924	1	3	3006	41	2	0
3656	1	4	1037	42	2	1
3443	1	3	3589	43	2	1
3937	1	4	2428	44	2	1
4636	1	5	916	45	2	1
1494	0	3	1087	46	2	0
3602	1	4	933	47	2	1
2338	0	4	1518	48	2	0
2994	1	1	2315	49	2	0
2672	0	4	1906	50	2	1
2895	1	4	2682	51	2	0
4445	1	4	2480	52	2	1
2164	0	5	1084	53	2	1
1909	0	2	814	54	2	0
3364	1	4	1345	55	2	1
953	0	1	700	56	2	0
2721	1	1	2410	57	2	0
2914	0	5	1638	58	2	1
2090	0	4	1214	59	2	1
1854	0	3	1491	60	2	0
2042	0	3	950	61	2	0
2169	0	3	2020	62	2	1
3018	1	2	3021	63	2	0
3202	1	3	3015	64	2	0
3395	1	3	1720	65	2	1
1370	0	3	772	66	2	1
1964	0	4	1343	67	2	0
2496	1	3	1170	68	2	1
2546	1	4	1664	69	2	1
678	0	2	1526	70	2	1
2140	0	4	827	71	2	0
3720	1	5	2395	72	2	0
3909	1	3	2150	73	2	1
2094	0	3	1946	74	2	1
3484	1	4	3013	75	2	1
3359	1	4	2041	76	2	0
4408	1	5	1865	77	2	0
4133	1	4	2521	78	2	0
1350	0	2	926	79	2	1
3476	1	4	1171	80	2	0
2216	0	3	2173	81	2	0
2747	1	5	2748	82	2	1
3518	0	5	1717	83	3	0
2800	0	5	1676	84	3	1
