streams_sd	online_advertising	customer_rating	streams_hd	movieID	genre	academy_award
3000	1	3	1960	1	1	1
2525	0	4	1623	2	1	1
2843	1	4	2543	3	1	1
2486	1	4	2084	4	1	1
2059	0	3	1640	5	1	1
3674	1	4	2144	6	1	1
2903	1	3	1812	7	1	1
2631	1	5	3038	8	1	0
1996	1	5	1663	9	1	1
3460	1	4	1366	10	1	0
3146	0	5	1266	11	1	1
3464	1	4	1501	12	1	1
3254	1	5	2832	13	1	1
2657	1	2	641	14	1	1
3002	0	5	1717	15	1	1
3448	1	2	1858	16	1	1
2591	1	4	2483	17	1	1
3573	1	4	1072	18	1	1
2916	0	4	1454	19	1	1
3677	1	5	3351	20	1	1
2903	0	5	2056	21	1	0
1483	0	4	1558	22	1	0
4001	1	4	2699	23	1	0
2878	1	5	2474	24	1	1
3546	1	3	2850	25	1	0
2720	0	4	1239	26	1	1
2737	1	5	1222	27	1	0
1010	0	1	1028	28	1	1
1229	0	1	1406	29	1	0
3465	1	4	2744	30	1	1
3076	1	1	2644	31	1	1
3183	1	3	2466	32	1	0
2499	0	3	686	33	1	1
2327	1	1	2151	34	1	0
3394	0	4	830	35	1	1
1450	0	2	1060	36	1	1
1506	0	3	1516	37	2	1
2008	0	3	1247	38	2	1
3414	0	5	1285	39	2	1
2152	0	3	1729	40	2	0
3748	1	5	1463	41	2	1
3210	0	5	1737	42	2	1
2514	1	4	2312	43	2	0
4454	1	5	2259	44	2	1
1293	0	2	1388	45	2	0
2657	1	4	1508	46	2	0
1524	0	2	2000	47	2	1
3674	1	3	2244	48	2	1
1657	0	2	1515	49	2	1
3571	1	5	1252	50	2	1
3993	1	4	1760	51	2	0
2755	0	4	2057	52	2	0
4639	1	5	2821	53	2	0
2424	1	3	1446	54	2	0
3627	1	4	2461	55	2	1
3019	1	3	2996	56	2	1
4287	1	3	2651	57	2	1
2848	0	5	1544	58	2	1
1863	0	3	1457	59	2	1
1302	0	1	849	60	2	0
2681	0	4	2671	61	2	1
3235	1	5	2134	62	2	1
3573	1	3	2095	63	2	0
3807	1	5	1609	64	2	0
2885	0	5	906	65	2	1
3410	1	2	1798	66	2	1
3803	1	5	2494	67	2	0
1107	0	1	1491	68	2	1
913	0	1	1353	69	2	0
1073	0	2	2055	70	2	0
3460	1	3	1468	71	2	0
1589	1	2	3167	72	2	1
2847	0	4	1096	73	2	1
1064	0	2	2136	74	2	0
3770	1	3	2468	75	2	0
3800	0	5	1186	76	2	1
977	0	1	1678	77	2	1
2563	0	4	1904	78	2	1
1939	0	5	2274	79	2	1
3364	0	4	2367	80	2	0
739	0	1	1459	81	2	1
2085	0	5	850	82	2	1
3529	1	3	4016	83	3	1
2513	1	5	1180	84	3	1
2275	1	3	3382	85	3	1
2102	0	4	1645	86	3	1
3188	1	5	1851	87	3	0
2521	1	5	1576	88	3	0
2887	1	5	2809	89	3	1
2063	0	2	1403	90	3	0
1744	0	3	1772	91	3	0
728	0	1	1149	92	3	0
2143	0	3	1306	93	3	0
1326	0	1	2004	94	3	1
4331	1	5	1588	95	3	0
2993	0	4	1491	96	3	0
2561	1	5	3092	97	3	0
3486	1	3	3153	98	3	0
2307	0	3	2151	99	3	1
3537	1	5	2449	100	3	0
4283	1	5	1690	101	3	0
1990	1	1	1131	102	3	1
2561	1	3	2319	103	3	0
4194	1	3	1918	104	3	0
1538	0	3	644	105	3	0
1177	0	3	2165	106	3	1
4173	1	3	2399	107	3	1
2972	0	5	1174	108	3	1
2254	0	5	1538	109	4	0
2845	1	5	2759	110	4	1
3726	1	4	2628	111	4	0
3001	0	3	489	112	4	1
1833	1	2	1601	113	4	1
3057	1	3	2522	114	4	0
4304	1	4	1558	115	4	1
1757	0	4	1838	116	4	0
2869	0	5	1114	117	4	1
2460	0	3	1399	118	4	1
2072	0	3	874	119	4	0
3805	1	3	2673	120	4	1
2702	1	2	4029	121	4	0
1833	0	2	1488	122	4	1
1622	0	3	1937	123	4	0
3950	1	4	2076	124	4	0
2674	1	2	3597	125	4	0
3187	0	4	1283	126	4	1
2354	0	3	1622	127	4	1
1175	0	2	1643	128	4	0
2342	0	3	1271	129	4	0
4401	1	4	2181	130	4	0
2735	0	4	1504	131	4	0
3093	0	5	1885	132	4	0
2498	0	5	1495	133	4	0
2036	1	5	2049	134	4	0
4385	1	5	3915	135	4	1
2497	1	1	3056	136	4	0
1975	0	4	1419	137	4	0
1467	0	2	625	138	4	0
3815	1	5	1536	139	4	0
2578	1	3	2243	140	4	0
4518	1	5	2448	141	4	0
3235	0	3	1305	142	4	0
2529	0	5	1413	143	4	1
2673	0	4	1131	144	4	0
3254	1	2	1187	145	4	0
1386	0	3	1699	146	4	0
3139	1	3	2707	147	4	0
2872	1	4	2006	148	4	0
1957	1	1	2079	149	4	0
1229	0	1	1275	150	4	0
2528	0	4	1709	151	4	0
4235	1	5	1081	152	4	1
1573	0	2	943	153	4	0
3934	1	5	1452	154	4	0
2643	0	5	1211	155	4	0
2889	1	5	1714	156	4	1
907	0	1	1545	157	4	0
3327	1	5	828	158	4	1
1518	0	2	2000	159	4	1
2830	0	5	1987	160	4	1
1859	0	2	2150	161	4	0
2470	0	3	1491	162	4	0
3272	1	4	3073	163	4	0
3363	1	2	2226	164	4	1
1657	0	5	1234	165	4	0
2311	0	3	2394	166	5	0
4398	1	3	2572	167	5	0
980	0	1	339	168	5	1
4194	1	5	1222	169	5	0
3070	0	4	1259	170	5	1
4978	1	4	2589	171	5	1
3505	1	3	2783	172	5	1
2240	1	5	1889	173	5	1
3623	0	5	1637	174	5	1
1687	1	5	1956	175	5	1
3673	1	4	2600	176	5	0
3639	0	3	511	177	5	1
2692	0	5	1446	178	5	0
3168	1	3	2557	179	5	0
3329	1	4	1443	180	5	0
3913	1	4	1586	181	5	1
2147	1	5	1609	182	5	0
666	0	2	2754	183	5	0
4067	1	4	2344	184	5	1
612	0	2	1440	185	5	1
1331	0	1	1173	186	5	0
1540	0	3	1115	187	5	0
2133	0	3	2287	188	5	0
4512	1	4	2797	189	5	0
979	0	1	787	190	5	0
2816	0	5	967	191	5	1
1674	0	4	1358	192	5	0
2059	0	4	1688	193	5	0
1790	0	2	1972	194	5	1
2395	1	4	2097	195	5	0
463	0	2	1528	196	5	1
970	0	1	1442	197	5	0
937	0	1	1066	198	5	1
4843	1	4	1593	199	5	1
3754	1	4	2372	200	5	0
