streams_sd	online_advertising	customer_rating	streams_hd	movieID	genre	academy_award
3511	0	5	1468	1	1	1
3068	0	5	2164	2	1	1
2445	1	3	2164	3	1	1
3839	1	3	1762	4	1	0
3180	0	4	1524	5	1	1
4369	1	5	1697	6	1	1
1187	0	3	1883	7	1	1
2829	1	5	1730	8	1	1
2222	1	1	1870	9	1	1
1139	0	2	760	10	1	1
3437	1	3	1098	11	1	0
3244	0	4	1859	12	1	0
1259	0	2	1448	13	1	1
1770	0	3	1412	14	1	0
1441	0	2	733	15	1	1
1994	0	4	1099	16	1	0
2136	1	5	2224	17	1	1
3756	0	5	1717	18	1	1
3826	1	4	591	19	1	1
3239	1	5	1544	20	1	1
4336	1	5	1657	21	1	0
3387	1	3	1655	22	1	1
998	0	1	1382	23	1	1
2889	1	5	2310	24	1	1
3421	1	2	3130	25	1	1
3944	1	4	2068	26	1	0
959	0	3	1171	27	1	1
2650	1	1	3095	28	1	0
2801	0	4	1468	29	1	1
1196	0	1	1762	30	1	0
2492	1	2	2290	31	1	0
3382	0	4	1421	32	1	1
1787	0	3	1636	33	1	1
4998	1	5	1780	34	1	1
3779	1	4	2115	35	1	1
4130	1	5	2500	36	1	1
2189	0	5	1410	37	2	1
2723	1	4	2407	38	2	1
2944	1	2	1990	39	2	0
3307	0	5	2332	40	2	1
2678	1	5	2258	41	2	1
3084	0	5	1863	42	2	1
5571	1	5	2264	43	2	1
710	0	2	1518	44	2	0
3060	0	4	1332	45	2	1
4669	1	3	2419	46	2	1
3039	0	4	1010	47	2	0
3841	1	3	1968	48	2	0
1987	0	4	1617	49	2	0
919	0	1	1986	50	2	1
1045	0	1	1344	51	2	0
2002	1	4	2359	52	2	0
2240	0	2	1994	53	2	1
2358	0	2	1332	54	2	0
5327	1	5	3043	55	2	1
2635	1	4	791	56	2	1
1973	0	3	644	57	2	0
641	0	1	1570	58	2	0
2566	1	1	1540	59	2	0
3020	0	5	812	60	2	1
2221	1	2	534	61	2	0
1660	0	2	1261	62	2	1
1061	0	1	1367	63	2	0
2712	0	5	1742	64	2	0
1509	0	3	1350	65	2	1
4587	1	5	2480	66	2	0
1073	0	2	810	67	2	0
1115	0	1	1784	68	2	0
1063	0	2	1726	69	2	1
3057	0	5	980	70	2	0
974	0	1	1214	71	2	0
3301	0	5	1114	72	2	0
2722	0	5	1633	73	2	1
3075	0	5	1505	74	2	1
3180	1	5	2280	75	2	1
2926	0	5	1928	76	2	1
1696	1	3	1695	77	2	0
3613	1	5	2640	78	2	0
2933	1	3	1272	79	2	0
3923	1	2	1758	80	2	1
1866	1	3	1455	81	2	1
2389	1	3	2383	82	2	0
3460	0	5	2234	83	3	1
2339	1	5	2017	84	3	0
2485	0	4	1377	85	3	0
1660	0	3	1087	86	3	0
1887	0	3	2178	87	3	0
903	0	1	1038	88	3	0
1099	1	3	1254	89	3	1
2247	0	3	1426	90	3	1
3343	1	3	2138	91	3	0
1073	0	1	553	92	3	1
1536	1	3	2137	93	3	0
2145	0	3	1574	94	3	0
4109	1	4	1479	95	3	1
1520	0	2	2121	96	3	1
2885	1	5	3162	97	3	1
1385	0	3	1144	98	3	1
3063	0	4	1690	99	3	0
4624	1	4	2886	100	3	0
1599	1	4	1695	101	3	1
2474	0	4	1510	102	3	0
2931	0	5	1584	103	3	1
2486	1	4	3470	104	3	0
2514	0	5	2146	105	3	0
3143	0	5	1318	106	3	1
2575	0	4	1558	107	3	1
1760	0	4	963	108	3	1
1059	0	1	2103	109	4	1
3123	1	3	3065	110	4	0
4492	1	4	3174	111	4	0
3496	0	5	1326	112	4	1
3790	1	4	2741	113	4	1
4862	1	4	1990	114	4	0
2725	1	3	2700	115	4	0
1257	0	2	2015	116	4	0
3122	1	5	1916	117	4	1
994	0	1	1100	118	4	0
2037	0	4	2605	119	4	0
3606	1	3	1593	120	4	1
2169	0	3	1496	121	4	0
1400	0	3	2035	122	4	0
2263	0	3	1211	123	4	0
4027	1	2	2941	124	4	0
2468	1	3	2180	125	4	0
2654	1	3	1533	126	4	0
4067	0	5	1575	127	4	1
2366	0	3	2138	128	4	0
4420	1	4	2165	129	4	1
3264	1	5	2122	130	4	1
749	0	3	1041	131	4	0
4175	1	4	2634	132	4	0
1347	0	3	1437	133	4	0
3636	1	4	2623	134	4	0
3340	1	5	2803	135	4	0
4315	1	4	1943	136	4	0
2490	1	1	1509	137	4	1
2060	0	3	1956	138	4	1
2131	1	1	2426	139	4	1
2088	0	2	1905	140	4	0
4170	1	5	2109	141	4	0
2991	1	4	1808	142	4	0
2276	0	2	2213	143	4	0
3388	1	4	2184	144	4	0
3622	1	5	1584	145	4	1
2923	1	4	2468	146	4	0
3701	1	5	3167	147	4	0
2260	1	3	2098	148	4	0
1653	0	3	1527	149	4	0
2963	0	5	774	150	4	0
1035	0	1	662	151	4	1
2914	1	3	3062	152	4	1
3897	1	5	2959	153	4	0
2081	0	3	1245	154	4	0
2811	1	4	1604	155	4	0
3232	1	3	1037	156	4	0
2247	0	4	1287	157	4	0
4633	1	5	2931	158	4	0
2996	1	5	2791	159	4	1
2570	0	4	1771	160	4	0
2231	0	4	1388	161	4	0
982	0	1	1907	162	4	0
2079	0	3	777	163	4	1
3891	1	4	3179	164	4	0
987	0	1	1062	165	4	1
4156	1	4	2763	166	5	0
1709	0	3	2168	167	5	1
2269	0	2	1410	168	5	1
2208	0	5	1401	169	5	0
3350	1	5	2123	170	5	1
4191	1	2	2521	171	5	1
1955	0	4	2370	172	5	0
3335	1	3	2939	173	5	0
4010	1	5	2846	174	5	1
2509	1	5	2148	175	5	0
3383	1	5	1613	176	5	0
1160	1	5	1742	177	5	0
1189	1	3	2057	178	5	1
1536	0	3	990	179	5	0
4789	1	4	1807	180	5	0
2613	0	4	1289	181	5	1
3767	1	5	1831	182	5	0
3263	1	5	2464	183	5	0
3033	1	5	2157	184	5	0
4017	1	2	2302	185	5	1
3139	0	4	1486	186	5	0
5378	1	5	1859	187	5	1
3351	1	4	1659	188	5	0
3935	1	4	1066	189	5	1
2604	0	4	1744	190	5	0
2783	1	2	1924	191	5	0
1982	0	2	1118	192	5	1
1158	0	2	1134	193	5	0
937	0	1	1293	194	5	0
1934	0	3	1679	195	5	0
2874	1	4	1856	196	5	0
1808	0	5	1098	197	5	1
2604	1	3	2643	198	5	1
1297	0	2	1938	199	5	0
3633	1	4	3874	200	5	1
