song_id,week,streams,treat_week,seqcnt,treated,exp_id
41,2018-12-17,17669,2019-02-25,10,0,100000093609
41,2018-12-24,17987,2019-02-25,9,0,100000093609
41,2018-12-31,20884,2019-02-25,8,0,100000093609
41,2019-01-07,20889,2019-02-25,7,0,100000093609
41,2019-01-14,19442,2019-02-25,6,0,100000093609
41,2019-01-21,18800,2019-02-25,5,0,100000093609
41,2019-01-28,19765,2019-02-25,4,0,100000093609
41,2019-02-04,19783,2019-02-25,3,0,100000093609
41,2019-02-11,23426,2019-02-25,2,0,100000093609
41,2019-02-18,26485,2019-02-25,1,0,100000093609
41,2019-02-25,24736,2019-02-25,0,0,100000093609
41,2019-03-04,23619,2019-02-25,-1,0,100000093609
41,2019-03-11,22207,2019-02-25,-2,0,100000093609
41,2019-03-18,24152,2019-02-25,-3,0,100000093609
41,2019-03-25,24088,2019-02-25,-4,0,100000093609
41,2019-04-01,23755,2019-02-25,-5,0,100000093609
41,2019-04-08,24889,2019-02-25,-6,0,100000093609
41,2019-04-15,26195,2019-02-25,-7,0,100000093609
41,2019-04-22,22284,2019-02-25,-8,0,100000093609
41,2019-04-29,22373,2019-02-25,-9,0,100000093609
41,2019-05-06,20720,2019-02-25,-10,0,100000093609
290,2018-03-05,13963,2018-05-14,10,0,100000133072
290,2018-03-12,14190,2018-05-14,9,0,100000133072
290,2018-03-19,14451,2018-05-14,8,0,100000133072
290,2018-03-26,14774,2018-05-14,7,0,100000133072
290,2018-04-02,15355,2018-05-14,6,0,100000133072
290,2018-04-09,14618,2018-05-14,5,0,100000133072
290,2018-04-16,14418,2018-05-14,4,0,100000133072
290,2018-04-23,13846,2018-05-14,3,0,100000133072
290,2018-04-30,14138,2018-05-14,2,0,100000133072
290,2018-05-07,14479,2018-05-14,1,0,100000133072
290,2018-05-14,14336,2018-05-14,0,0,100000133072
290,2018-05-21,14046,2018-05-14,-1,0,100000133072
290,2018-05-28,14449,2018-05-14,-2,0,100000133072
290,2018-06-04,14107,2018-05-14,-3,0,100000133072
290,2018-06-11,13442,2018-05-14,-4,0,100000133072
290,2018-06-18,13367,2018-05-14,-5,0,100000133072
290,2018-06-25,13820,2018-05-14,-6,0,100000133072
290,2018-07-02,14670,2018-05-14,-7,0,100000133072
290,2018-07-09,15607,2018-05-14,-8,0,100000133072
290,2018-07-16,16456,2018-05-14,-9,0,100000133072
290,2018-07-23,15685,2018-05-14,-10,0,100000133072
151,2018-04-09,12832,2018-06-18,10,0,100000229675
151,2018-04-16,13639,2018-06-18,9,0,100000229675
151,2018-04-23,13331,2018-06-18,8,0,100000229675
151,2018-04-30,13077,2018-06-18,7,0,100000229675
151,2018-05-07,12930,2018-06-18,6,0,100000229675
151,2018-05-14,13129,2018-06-18,5,0,100000229675
151,2018-05-21,12646,2018-06-18,4,0,100000229675
151,2018-05-28,13202,2018-06-18,3,0,100000229675
151,2018-06-04,14004,2018-06-18,2,0,100000229675
151,2018-06-11,13879,2018-06-18,1,0,100000229675
151,2018-06-18,13765,2018-06-18,0,0,100000229675
151,2018-06-25,14254,2018-06-18,-1,0,100000229675
151,2018-07-02,15163,2018-06-18,-2,0,100000229675
151,2018-07-09,14078,2018-06-18,-3,0,100000229675
151,2018-07-16,13892,2018-06-18,-4,0,100000229675
151,2018-07-23,12981,2018-06-18,-5,0,100000229675
151,2018-07-30,12951,2018-06-18,-6,0,100000229675
151,2018-08-06,12302,2018-06-18,-7,0,100000229675
151,2018-08-13,12590,2018-06-18,-8,0,100000229675
151,2018-08-20,12364,2018-06-18,-9,0,100000229675
151,2018-08-27,12076,2018-06-18,-10,0,100000229675
146,2017-09-11,782,2017-11-20,10,0,100000248712
146,2017-09-18,854,2017-11-20,9,0,100000248712
146,2017-09-25,960,2017-11-20,8,0,100000248712
146,2017-10-02,1324,2017-11-20,7,0,100000248712
146,2017-10-09,1328,2017-11-20,6,0,100000248712
146,2017-10-16,1609,2017-11-20,5,0,100000248712
146,2017-10-23,2510,2017-11-20,4,0,100000248712
146,2017-10-30,6640,2017-11-20,3,0,100000248712
146,2017-11-06,15861,2017-11-20,2,0,100000248712
146,2017-11-13,31891,2017-11-20,1,0,100000248712
146,2017-11-20,68510,2017-11-20,0,0,100000248712
146,2017-11-27,241504,2017-11-20,-1,0,100000248712
146,2017-12-04,330879,2017-11-20,-2,0,100000248712
146,2017-12-11,347534,2017-11-20,-3,0,100000248712
146,2017-12-18,786889,2017-11-20,-4,0,100000248712
146,2017-12-25,212522,2017-11-20,-5,0,100000248712
146,2018-01-01,8318,2017-11-20,-6,0,100000248712
146,2018-01-08,4376,2017-11-20,-7,0,100000248712
146,2018-01-15,3094,2017-11-20,-8,0,100000248712
146,2018-01-22,2037,2017-11-20,-9,0,100000248712
146,2018-01-29,1921,2017-11-20,-10,0,100000248712
240,2017-12-18,44157,2018-02-26,10,0,100000359277
240,2017-12-25,41216,2018-02-26,9,0,100000359277
240,2018-01-01,39529,2018-02-26,8,0,100000359277
240,2018-01-08,43783,2018-02-26,7,0,100000359277
240,2018-01-15,44272,2018-02-26,6,0,100000359277
240,2018-01-22,46036,2018-02-26,5,0,100000359277
240,2018-01-29,45786,2018-02-26,4,0,100000359277
240,2018-02-05,44460,2018-02-26,3,0,100000359277
240,2018-02-12,43011,2018-02-26,2,0,100000359277
240,2018-02-19,45770,2018-02-26,1,0,100000359277
240,2018-02-26,44650,2018-02-26,0,0,100000359277
240,2018-03-05,49217,2018-02-26,-1,0,100000359277
240,2018-03-12,50321,2018-02-26,-2,0,100000359277
240,2018-03-19,50894,2018-02-26,-3,0,100000359277
240,2018-03-26,48511,2018-02-26,-4,0,100000359277
240,2018-04-02,47348,2018-02-26,-5,0,100000359277
240,2018-04-09,48205,2018-02-26,-6,0,100000359277
240,2018-04-16,48996,2018-02-26,-7,0,100000359277
240,2018-04-23,47209,2018-02-26,-8,0,100000359277
240,2018-04-30,45544,2018-02-26,-9,0,100000359277
240,2018-05-07,46798,2018-02-26,-10,0,100000359277
298,2018-08-27,18400,2018-11-05,10,0,100000368565
298,2018-09-03,18537,2018-11-05,9,0,100000368565
298,2018-09-10,18842,2018-11-05,8,0,100000368565
298,2018-09-17,18306,2018-11-05,7,0,100000368565
