playlist_id,playlist_owner,playlist_name,spotify_pl,major_pl,artist_pl,german_pl,context_pl,content_pl,ranking_pl,playlist_follower,artist_fame,avg_song_age,n_artists_playlist,n_songs_playlist,new_songs_30d,new_song_share,n_genres,major_share,n_country_rep,avg_song_similarity,avg_danceability,avg_speechiness,avg_valence,avg_energy,avg_loudness,avg_liveness,avg_acousticness,avg_instrumentalness,avg_tempo,min_date
00BTx3ggFpepiYT4T9sdo5,beengan,Metal Gym Hours,0,0,0,0,0,1,0,168495,131.994049036801,284.316479034961,59.7452229299363,66.6305732484076,6,0.0962359777503292,4.20382165605096,0.583679712911594,12.1210191082803,0.749493667380506,-0.952308358533073,0.13676464361683,-0.651590791934916,1.40128118614652,0.914955330158278,0.15231013750881,-0.981474313592169,-0.313818743448449,0.354745616888607,2016-12-26
00e2vXzWaSmxJ1Fga6l2ug,logansandberg,Party - Breathe - Jax Jones - Vigiland Friday Night Axwell /\ Ingrosso More Than You Know,0,0,0,0,1,0,0,221068,301.357759944045,148.787163338203,75.6178343949045,108.108280254777,24.8216560509554,0.212003764625354,8.15286624203822,0.862923175963973,21.3184713375796,0.700878735791013,0.573697484205085,-0.0367034885223107,0.214790592201437,0.518079043134538,0.680287069502524,-0.0788494930858572,-0.548255943769815,-0.56261842183824,-0.143419242835154,2016-12-26
00sP0XsnG64tXgaBUJ8u2c,darrenorourk,Hipster Morning,0,0,0,0,0,0,0,52154,1549.48528186818,424.486396191156,266.675159235669,413.764331210191,1.85350318471338,0.0044846244144334,13.8216560509554,0.620831845678533,23.8216560509554,0.551742065749659,-0.0509556371835851,-0.340183523405962,0.0837167440372416,0.634660859777732,0.565105376747217,-0.0316005106476543,-0.718485705425268,-0.261311581841537,0.112659809787031,2016-12-26
00t68Ndg5LJHxmKKE8LPXI,theedgenz,The Edge Fat 40,0,0,0,0,0,0,0,22334,781.04394888899,29.2422624194628,36.1910828025478,39.9235668789809,21.3630573248408,0.535719992407891,7.93630573248408,0.799375849186362,9.29299363057325,0.597331037091445,0.527426824013709,0.00580738339405448,0.0629825353549555,-0.0204621772164412,0.513674818640085,-0.072672138101694,-0.334065838238993,-0.531568992406021,-0.119895028882895,2016-12-26
012Jm4s6ckHWnKqs1d4ZIv,sonymusicaustralia,R N Beats,0,1,0,0,0,1,0,17848,73.1776250706641,28.7784044526244,50.3885350318471,62.0828025477707,74.4140127388535,1.19861593722707,7.73248407643312,0.65298226899537,7.88535031847134,0.552444329494966,0.828174702542163,0.591951396156744,0.16576996319213,0.169910962327235,0.507902841553589,-0.267241511421882,-0.468396665636292,-0.568889393744916,-0.00446586748766508,2016-12-26
01DbkmjFPYPeZyw7MxBal5,logicofficial,OCD,0,0,0,0,0,1,0,119139,1.84097957262557,116.404051604406,1.14649681528662,44.4968152866242,17.515923566879,0.358885540718238,3.45859872611465,0.840724025642915,2.67515923566879,0.545323873328441,0.640746585456827,0.893460251624075,0.114558772494572,0.503029265540699,0.452065407307823,-0.00722110065152903,-0.426793954564657,-0.566563678754204,0.112235020033275,2016-12-26
01Jn8PTFWmIB6vsRejLX5c,iloveplaylists,Soirée VIP,0,0,0,0,0,1,0,63591,6743.48557198198,546.300369431039,74.1974522292994,93.0764331210191,89.7707006369427,0.964444519074764,14.0382165605096,0.673883851442326,23,0.650588773579453,0.639775308004103,-0.0171986777129398,0.388531627748852,0.462960777211332,0.692933072319682,0.0444226750652389,-0.586167989250751,-0.547794431487104,-0.236144010935576,2016-12-26
01lwNH8GSaWCpNxrV7xnEY,sonymusicargentina,Puro Reggaeton,0,1,0,0,0,1,0,38083,260.334606486488,48.9217042559717,43.4904458598726,77.3503184713376,61.1464968152866,0.798460034884382,7.67515923566879,0.676419625633781,11.4713375796178,0.68969751066264,1.01755532703159,0.437851318267211,0.773198150630378,0.505675604772048,0.86405949210659,-0.256032078521826,-0.411636308159877,-0.576472584531743,0.303880908916564,2016-12-26
01pNIDYGqmeawppy32wr3D,warnermusicus,2000's Hip Hop,0,1,0,0,0,1,0,258649,2046.3803179386,798.63526284321,51.2101910828026,74.7770700636943,15.4267515923567,0.21125350511617,13.2101910828025,0.630440840846019,9.94904458598726,0.671836021875216,1.14405811718369,0.664220847005701,0.67339078765424,0.3533682120566,0.608997609633751,-0.185033293532499,-0.649509551675254,-0.532791036269231,-0.322770031821686,2016-12-26
01sHpRa2WsC2vG1ou579kR,128735854,"Blink-182, Sum 41 and more...",0,0,0,0,0,1,0,24656,14822.0421693259,644.876369427779,347.834394904459,2802.05732484076,120.764331210191,0.0435352813119665,11.8471337579618,0.602218267562543,20.7452229299363,0.715489485283676,-0.727978879002432,-0.0933635733909718,0.170011908854667,1.1747517829226,0.908497345549277,0.109780785587424,-0.920819707080055,-0.512529902451147,0.576507865827132,2016-12-26
