playlist_id,playlist_owner,playlist_name,spotify_pl,major_pl,artist_pl,german_pl,context_pl,content_pl,ranking_pl,playlist_follower,artist_fame,avg_song_age,n_artists_playlist,n_songs_playlist,new_songs_30d,new_song_share,n_genres,major_share,n_country_rep,avg_song_similarity
00BTx3ggFpepiYT4T9sdo5,beengan,Metal Gym Hours,0,0,0,0,0,1,0,168495,131.994049036801,284.316479034961,59.7452229299363,66.6305732484076,6,0.0962359777503292,4.20382165605096,0.583679712911594,12.1210191082803,0.749493667380506
00e2vXzWaSmxJ1Fga6l2ug,logansandberg,Party - Breathe - Jax Jones - Vigiland Friday Night Axwell /\ Ingrosso More Than You Know,0,0,0,0,1,0,0,221068,301.357759944045,148.787163338203,75.6178343949045,108.108280254777,24.8216560509554,0.212003764625354,8.15286624203822,0.862923175963973,21.3184713375796,0.700878735791013
00sP0XsnG64tXgaBUJ8u2c,darrenorourk,Hipster Morning,0,0,0,0,0,0,0,52154,1549.48528186818,424.486396191156,266.675159235669,413.764331210191,1.85350318471338,0.0044846244144334,13.8216560509554,0.620831845678533,23.8216560509554,0.551742065749659
00t68Ndg5LJHxmKKE8LPXI,theedgenz,The Edge Fat 40,0,0,0,0,0,0,0,22334,781.04394888899,29.2422624194628,36.1910828025478,39.9235668789809,21.3630573248408,0.535719992407891,7.93630573248408,0.799375849186362,9.29299363057325,0.597331037091445
012Jm4s6ckHWnKqs1d4ZIv,sonymusicaustralia,R N Beats,0,1,0,0,0,1,0,17848,73.1776250706641,28.7784044526244,50.3885350318471,62.0828025477707,74.4140127388535,1.19861593722707,7.73248407643312,0.65298226899537,7.88535031847134,0.552444329494966
01DbkmjFPYPeZyw7MxBal5,logicofficial,OCD,0,0,0,0,0,1,0,119139,1.84097957262557,116.404051604406,1.14649681528662,44.4968152866242,17.515923566879,0.358885540718238,3.45859872611465,0.840724025642915,2.67515923566879,0.545323873328441
01Jn8PTFWmIB6vsRejLX5c,iloveplaylists,Soirée VIP,0,0,0,0,0,1,0,63591,6743.48557198198,546.300369431039,74.1974522292994,93.0764331210191,89.7707006369427,0.964444519074764,14.0382165605096,0.673883851442326,23,0.650588773579453
01lwNH8GSaWCpNxrV7xnEY,sonymusicargentina,Puro Reggaeton,0,1,0,0,0,1,0,38083,260.334606486488,48.9217042559717,43.4904458598726,77.3503184713376,61.1464968152866,0.798460034884382,7.67515923566879,0.676419625633781,11.4713375796178,0.68969751066264
01pNIDYGqmeawppy32wr3D,warnermusicus,2000's Hip Hop,0,1,0,0,0,1,0,258649,2046.3803179386,798.63526284321,51.2101910828026,74.7770700636943,15.4267515923567,0.21125350511617,13.2101910828025,0.630440840846019,9.94904458598726,0.671836021875216
01sHpRa2WsC2vG1ou579kR,128735854,"Blink-182, Sum 41 and more...",0,0,0,0,0,1,0,24656,14822.0421693259,644.876369427779,347.834394904459,2802.05732484076,120.764331210191,0.0435352813119665,11.8471337579618,0.602218267562543,20.7452229299363,0.715489485283676
01TSWfUoYC4qXB9fJJmeMG,david-englund,Melbourne Bounce,0,0,0,0,0,1,0,34959,316.320848069085,201.000433098468,230.56050955414,511.929936305733,20.2929936305733,0.0392292269933678,7.91082802547771,0.308962609344361,20.8726114649682,0.690799540710988
01Wo2U9pdwPDThr9NPafqE,genesis_band,Genesis Complete,0,0,0,0,0,1,0,19801,39701.9627881037,1906.47990011059,1,263.732484076433,37.7834394904459,0.134416411125782,4,0.876641825787473,3,0.259689953130989
024O9JE3y0qCkdeKWxqHiv,jamiecullumofficial,Best Of... Jamie Cullum,0,0,0,0,0,1,0,17039,99.9887767335628,660.711018741546,1.43949044585987,38.1210191082803,3.67515923566879,0.0284896064780526,3.86624203821656,0.767611747181519,5.21656050955414,0.328328590411485
02g3P7sDYtcLuE8LapCoQI,11152361853,NAJLEPSZE HITY DLA CIEBIE,0,0,0,0,0,0,0,7351,1045.17780022582,57.6068816090572,47.6369426751592,53.7197452229299,64.1273885350319,1.16355731652343,9.14012738853503,0.866664025535047,13.8535031847134,0.615598403337812
02lrpV4lyxg9frFY5N5AOQ,teddybearsden,katy melua,0,0,0,0,0,1,0,13181,5207.28975613209,584.164470913394,2.01273885350318,182.611464968153,0.54140127388535,0.0021656050955414,6.26751592356688,0.780831234059061,6,0.364182651403613
02pFLPtnGpXnSfNKhplVSw,sonymusicnl,Deep Chill,0,1,0,0,0,0,0,19936,52.1626215140483,103.506597312121,77.4331210191083,90.2165605095541,53.4713375796178,0.57534669972949,6.87898089171975,0.808593689232817,14.8471337579618,0.555492208905052
