song_id,week,streams,song_age,n_playlists,playlist_followers,n_postings,artist_fame,treated,treat_week,treated_post
402,2017-06-05,14069,1610,60,1047524,0,12.8587456524464,1,2017-09-11,0
402,2017-06-12,16182,1611,62,1074684,0,12.8587456524464,1,2017-09-11,0
402,2017-06-19,17532,1612,63,1235305,0,12.8587456524464,1,2017-09-11,0
402,2017-06-26,14413,1613,67,1251072,0,12.8587456524464,1,2017-09-11,0
402,2017-07-03,17733,1614,67,1266513,0,12.8587456524464,1,2017-09-11,0
402,2017-07-10,16226,1615,69,1289198,0,12.8587456524464,1,2017-09-11,0
402,2017-07-17,17495,1616,71,1304602,0,12.8587456524464,1,2017-09-11,0
402,2017-07-24,15135,1617,72,1317578,0,12.8587456524464,1,2017-09-11,0
402,2017-07-31,16653,1618,73,1331144,0,12.8587456524464,1,2017-09-11,0
402,2017-08-07,15066,1619,73,1348976,0,12.8587456524464,1,2017-09-11,0
402,2017-08-14,15299,1620,72,1350852,0,12.8587456524464,1,2017-09-11,0
402,2017-08-21,15036,1621,72,1361201,0,12.8587456524464,1,2017-09-11,0
402,2017-08-28,14327,1622,70,1358854,0,12.8587456524464,1,2017-09-11,0
402,2017-09-04,11724,1623,71,1377171,0,12.8587456524464,1,2017-09-11,0
402,2017-09-11,17840,1624,73,1511907,0,12.8587456524464,1,2017-09-11,1
402,2017-09-18,15712,1625,73,1524642,0,12.8587456524464,1,2017-09-11,1
402,2017-09-25,14755,1626,76,1529617,0,12.8587456524464,1,2017-09-11,1
402,2017-10-02,13786,1627,76,1548465,0,12.8587456524464,1,2017-09-11,1
402,2017-10-09,12218,1628,77,1554167,0,12.8587456524464,1,2017-09-11,1
402,2017-10-16,11619,1629,78,1580592,0,12.8587456524464,1,2017-09-11,1
402,2017-10-23,11386,1630,78,1592581,0,12.8587456524464,1,2017-09-11,1
402,2017-10-30,11013,1631,77,1600841,0,12.8587456524464,1,2017-09-11,1
402,2017-11-06,9629,1632,78,1624925,0,12.8587456524464,1,2017-09-11,1
402,2017-11-13,9768,1633,77,1618880,0,12.8587456524464,1,2017-09-11,1
402,2017-11-20,9526,1634,77,1621866,0,12.8587456524464,1,2017-09-11,1
402,2017-11-27,10211,1635,79,1628888,0,12.8587456524464,1,2017-09-11,1
402,2017-12-04,10366,1636,78,1634558,0,12.8587456524464,1,2017-09-11,1
402,2017-12-11,10345,1637,76,1492472,0,12.8587456524464,1,2017-09-11,1
402,2017-12-18,13585,1638,78,1531747,0,12.8587456524464,1,2017-09-11,1
402,2017-12-25,16337,1639,80,1564127,0,12.8587456524464,1,2017-09-11,1
402,2018-01-01,11221,1640,80,1646237,0,12.8587456524464,1,2017-09-11,1
402,2018-01-08,9724,1641,80,1652848,0,12.8587456524464,1,2017-09-11,1
402,2018-01-15,9435,1642,80,1659218,0,12.8587456524464,1,2017-09-11,1
402,2018-01-22,9580,1643,81,1667583,0,12.8587456524464,1,2017-09-11,1
402,2018-01-29,9560,1644,82,1684515,0,12.8587456524464,1,2017-09-11,1
402,2018-02-05,8946,1645,83,1693156,0,12.8587456524464,1,2017-09-11,1
402,2018-02-12,8727,1646,84,1696437,0,12.8587456524464,1,2017-09-11,1
402,2018-02-19,9041,1647,85,1689385,0,12.8587456524464,1,2017-09-11,1
402,2018-02-26,9314,1648,83,1673682,0,12.8587456524464,1,2017-09-11,1
409,2017-06-05,21584,1797,175,3181952,0,0,1,2017-09-18,0
409,2017-06-12,22488,1798,173,2470648,0,0,1,2017-09-18,0
409,2017-06-19,20703,1799,175,2501674,0,0,1,2017-09-18,0
409,2017-06-26,21471,1800,177,2518981,0,0,1,2017-09-18,0
409,2017-07-03,22312,1801,181,2548745,0,0,1,2017-09-18,0
409,2017-07-10,21323,1802,182,2580269,0,0,1,2017-09-18,0
409,2017-07-17,21682,1803,184,2608584,1,0,1,2017-09-18,0
409,2017-07-24,22385,1804,189,2659811,0,0,1,2017-09-18,0
409,2017-07-31,21814,1805,189,2687671,0,0,1,2017-09-18,0
409,2017-08-07,21911,1806,187,2711729,3,0,1,2017-09-18,0
409,2017-08-14,21774,1807,190,2795795,0,0,1,2017-09-18,0
409,2017-08-21,22055,1808,194,2824865,2,0,1,2017-09-18,0
409,2017-08-28,21794,1809,197,2854613,3,0,1,2017-09-18,0
