song_id,week,streams,treated
1,2018-01-08,4565,0
1,2018-01-15,4584,0
1,2018-01-22,4349,0
1,2018-01-29,4568,0
1,2018-02-05,4470,0
1,2018-02-12,4565,0
1,2018-02-19,4807,0
1,2018-02-26,4989,0
1,2018-03-05,5006,0
1,2018-03-12,5002,0
1,2018-03-26,15786,1
1,2018-04-02,10671,1
1,2018-04-09,8631,1
1,2018-04-16,7755,1
1,2018-04-23,7163,1
1,2018-04-30,6900,1
1,2018-05-07,5884,1
1,2018-05-14,6694.00000000001,1
1,2018-05-21,7428,1
1,2018-05-28,7121,1
51,2018-01-08,95195,0
51,2018-01-15,98265.9999999999,0
51,2018-01-22,104945,0
51,2018-01-29,119142,0
51,2018-02-05,111550,0
51,2018-02-12,112013,0
51,2018-02-19,110033,0
51,2018-02-26,111947,0
51,2018-03-05,113465,0
51,2018-03-12,111749,0
51,2018-03-26,128526,1
51,2018-04-02,119631,1
51,2018-04-09,120140,1
51,2018-04-16,121712,1
51,2018-04-23,126319,1
51,2018-04-30,130679,1
51,2018-05-07,129293,1
51,2018-05-14,122716,1
51,2018-05-21,132704,1
51,2018-05-28,136664,1
52,2018-01-08,42723,0
52,2018-01-15,46860,0
52,2018-01-22,42370,0
52,2018-01-29,49316,0
52,2018-02-05,59324,0
52,2018-02-12,56245,0
52,2018-02-19,49102,0
52,2018-02-26,48500,0
52,2018-03-05,56702,0
52,2018-03-12,68277,0
52,2018-03-26,74367,1
52,2018-04-02,81655,1
52,2018-04-09,82194,1
52,2018-04-16,74006,1
52,2018-04-23,64900,1
52,2018-04-30,56633.0000000001,1
52,2018-05-07,49295,1
52,2018-05-14,46472,1
52,2018-05-21,44342,1
52,2018-05-28,43353,1
53,2018-01-08,20368,0
53,2018-01-15,20015,0
53,2018-01-22,20432,0
53,2018-01-29,20712,0
53,2018-02-05,20861,0
53,2018-02-12,20123,0
53,2018-02-19,19678,0
53,2018-02-26,19349,0
53,2018-03-05,19243,0
53,2018-03-12,20132,0
53,2018-03-26,28297,1
53,2018-04-02,25599,1
53,2018-04-09,21683,1
53,2018-04-16,21145,1
53,2018-04-23,20317,1
53,2018-04-30,19371,1
53,2018-05-07,19689,1
53,2018-05-14,18734,1
53,2018-05-21,21265,1
53,2018-05-28,19285,1
54,2018-01-08,39215,0
54,2018-01-15,37906,0
54,2018-01-22,37692,0
54,2018-01-29,38403,0
54,2018-02-05,42873,0
54,2018-02-12,40269,0
54,2018-02-19,41649,0
54,2018-02-26,40276,0
54,2018-03-05,44217,0
54,2018-03-12,41894,0
54,2018-03-26,49909,1
54,2018-04-02,47079,1
54,2018-04-09,42072,1
54,2018-04-16,41173,1
54,2018-04-23,42796,1
54,2018-04-30,45251,1
54,2018-05-07,45353,1
54,2018-05-14,46103,1
54,2018-05-21,47309,1
54,2018-05-28,52812,1
55,2018-01-08,10964,0
55,2018-01-15,10685,0
55,2018-01-22,11377,0
55,2018-01-29,11080,0
55,2018-02-05,11146,0
55,2018-02-12,11353,0
55,2018-02-19,11045,0
55,2018-02-26,11796,0
55,2018-03-05,12595,0
55,2018-03-12,11737,0
55,2018-03-26,12796,0
55,2018-04-02,13186,0
55,2018-04-09,13284,0
55,2018-04-16,13438,0
55,2018-04-23,14429,0
55,2018-04-30,13436,0
55,2018-05-07,13876,0
55,2018-05-14,13497,0
55,2018-05-21,13642,0
55,2018-05-28,13144,0
56,2018-01-08,42646,0
56,2018-01-15,42641,0
56,2018-01-22,41951,0
56,2018-01-29,43952,0
56,2018-02-05,42237,0
56,2018-02-12,41902,0
56,2018-02-19,42055,0
56,2018-02-26,41625,0
56,2018-03-05,40561,0
56,2018-03-12,41427,0
56,2018-03-26,40844,0
56,2018-04-02,39768,0
56,2018-04-09,38285,0
56,2018-04-16,38935,0
56,2018-04-23,40104,0
56,2018-04-30,40818,0
56,2018-05-07,42109,0
56,2018-05-14,47449,0
56,2018-05-21,53871,0
56,2018-05-28,53706,0
57,2018-01-08,11362,0
57,2018-01-15,11052,0
57,2018-01-22,11745,0
57,2018-01-29,11987,0
57,2018-02-05,11828,0
57,2018-02-12,14610,0
57,2018-02-19,15324,0
57,2018-02-26,13737,0
57,2018-03-05,15553,0
57,2018-03-12,15401,0
57,2018-03-26,14204,0
57,2018-04-02,14174,0
57,2018-04-09,16891,0
57,2018-04-16,17867,0
57,2018-04-23,19034,0
57,2018-04-30,18473,0
57,2018-05-07,16780,0
57,2018-05-14,15910,0
57,2018-05-21,17916,0
57,2018-05-28,17205,0
58,2018-01-08,10930,0
58,2018-01-15,11315,0
58,2018-01-22,13033,0
58,2018-01-29,14598,0
58,2018-02-05,12918,0
58,2018-02-12,12204,0
58,2018-02-19,12541,0
58,2018-02-26,12053,0
58,2018-03-05,12519,0
58,2018-03-12,12048,0
58,2018-03-26,11137,0
58,2018-04-02,10604,0
58,2018-04-09,10445,0
58,2018-04-16,11310,0
58,2018-04-23,11247,0
58,2018-04-30,10080,0
58,2018-05-07,10493,0
58,2018-05-14,10644,0
58,2018-05-21,10529,0
58,2018-05-28,10857,0
59,2018-01-08,40887,0
59,2018-01-15,37357,0
59,2018-01-22,35842,0
59,2018-01-29,39767,0
59,2018-02-05,39563,0
59,2018-02-12,41988,0
59,2018-02-19,43693,0
59,2018-02-26,43308,0
59,2018-03-05,43864,0
59,2018-03-12,47636.0000000001,0
59,2018-03-26,53750,0
59,2018-04-02,47496,0
59,2018-04-09,49428,0
59,2018-04-16,51102,0
59,2018-04-23,49352,0
59,2018-04-30,52746,0
59,2018-05-07,50280,0
59,2018-05-14,60002,0
59,2018-05-21,53012,0
59,2018-05-28,55327,0
60,2018-01-08,10148,0
60,2018-01-15,10681,0
60,2018-01-22,11342,0
60,2018-01-29,10670,0
60,2018-02-05,10314,0
60,2018-02-12,10478,0
60,2018-02-19,10472,0
60,2018-02-26,10502,0
