"revenue"	"gender"	"retargeting"	"customerID"	"rank"
1425	"1"	"2"	1	180
1073	"1"	"1"	2	223
3546	"1"	"3"	3	5
1286	"0"	"1"	4	200
1455	"0"	"1"	5	179
361	"1"	"2"	6	268
1750	"1"	"2"	7	140
455	"0"	"1"	8	263
2474	"1"	"3"	9	57
2365	"1"	"1"	10	68
1606	"1"	"3"	11	159
2397	"0"	"1"	12	65
738	"1"	"1"	13	249
3312	"1"	"3"	14	9
2197	"1"	"1"	15	85
2982	"1"	"3"	16	23
719	"0"	"1"	17	250
1664	"0"	"2"	18	153
21	"1"	"1"	19	290
2967	"1"	"3"	20	24
185	"0"	"1"	21	283
1100	"0"	"2"	22	219
2073	"1"	"1"	23	97
1844	"1"	"2"	24	129
1651	"0"	"2"	25	155
1068	"1"	"1"	26	224
1018	"0"	"2"	27	229
2993	"0"	"3"	28	21
1198	"0"	"3"	29	207
1145	"0"	"3"	30	215
997	"0"	"3"	31	230
226	"0"	"2"	32	280
3330	"0"	"1"	33	7
2925	"0"	"3"	34	30
1410	"1"	"1"	35	184
1581	"1"	"1"	36	163
411	"0"	"3"	37	265
1038	"0"	"1"	39	227
2340	"1"	"2"	40	71
2416	"0"	"1"	41	63
2011	"1"	"3"	42	109
1018	"0"	"1"	43	228
132	"0"	"2"	45	285
2611	"1"	"2"	46	47
2374	"0"	"3"	47	67
2384	"0"	"1"	48	66
755	"0"	"2"	49	246
2042	"1"	"1"	50	103
519	"1"	"2"	51	262
533	"0"	"2"	52	261
748	"0"	"3"	53	248
1607	"0"	"2"	55	158
2538	"0"	"2"	56	54
2309	"0"	"3"	57	78
1883	"1"	"1"	58	124
981	"0"	"2"	59	231
1093	"1"	"3"	60	221
2048	"0"	"3"	61	101
1150	"0"	"2"	62	214
880	"1"	"1"	63	236
1066	"1"	"1"	64	225
2121	"0"	"3"	65	91
1410	"1"	"2"	66	185
1990	"1"	"1"	67	111
1162	"1"	"2"	68	212
1983	"0"	"1"	69	113
3657	"1"	"3"	70	3
1528	"1"	"1"	71	167
1741	"1"	"2"	72	141
2331	"1"	"3"	73	72
1961	"0"	"3"	74	114
1893	"1"	"3"	75	122
3329	"1"	"1"	76	8
1400	"0"	"1"	77	187
1767	"1"	"1"	78	137
1832	"0"	"3"	79	131
1293	"1"	"1"	80	199
1735	"0"	"2"	81	143
1846	"0"	"2"	82	128
1601	"1"	"3"	83	160
2842	"0"	"1"	84	35
1714	"0"	"3"	85	147
774	"0"	"2"	86	244
2128	"0"	"3"	87	90
2623	"0"	"3"	88	44
2099	"1"	"2"	89	94
1888	"0"	"2"	90	123
2208	"0"	"2"	91	83
1589	"0"	"3"	92	161
706	"0"	"1"	93	251
2563	"1"	"2"	94	51
536	"0"	"2"	95	260
1585	"0"	"1"	96	162
1814	"1"	"2"	97	133
2899	"1"	"3"	98	31
1363	"0"	"1"	99	193
2516	"1"	"3"	100	56
2933	"1"	"3"	102	28
853	"0"	"2"	103	239
2029	"0"	"3"	104	106
1736	"1"	"2"	105	142
186	"0"	"2"	106	282
1123	"1"	"2"	107	217
2792	"0"	"3"	109	38
209	"1"	"1"	110	281
352	"0"	"1"	111	270
1849	"0"	"3"	112	127
377	"0"	"2"	113	267
2064	"1"	"3"	114	99
