"revenue"	"gender"	"retargeting"	"customerID"	"rank"
1679	"1"	"1"	1	160
1662	"1"	"1"	2	165
2705	"1"	"3"	3	38
1650	"0"	"1"	4	168
2219	"1"	"1"	5	87
2194	"0"	"3"	6	89
1930	"1"	"1"	7	130
911	"0"	"1"	8	245
403	"0"	"1"	9	276
2073	"1"	"2"	10	107
1983	"0"	"2"	11	121
1779	"0"	"1"	12	153
1396	"0"	"2"	13	196
859	"0"	"2"	14	248
1213	"0"	"2"	15	220
2057	"0"	"1"	16	111
2064	"0"	"1"	17	109
1573	"0"	"1"	18	175
2627	"1"	"2"	19	45
620	"1"	"2"	20	266
2129	"0"	"2"	21	96
1833	"1"	"2"	22	143
53	"1"	"1"	23	293
1169	"0"	"3"	24	223
2398	"1"	"1"	25	73
906	"1"	"2"	26	246
666	"0"	"3"	27	261
1190	"0"	"1"	28	222
1630	"0"	"2"	29	170
403	"0"	"2"	30	277
206	"1"	"2"	31	286
1623	"0"	"3"	32	172
926	"1"	"2"	33	243
1677	"0"	"2"	34	162
841	"0"	"3"	35	251
2033	"0"	"2"	36	116
629	"1"	"1"	37	265
1938	"0"	"3"	38	128
1108	"1"	"1"	40	228
2734	"1"	"3"	41	34
155	"1"	"1"	42	290
2811	"1"	"3"	43	29
1778	"0"	"2"	44	154
2928	"1"	"1"	45	24
2238	"0"	"3"	46	86
1946	"1"	"1"	47	127
1428	"1"	"2"	48	192
1250	"1"	"1"	49	216
783	"0"	"2"	50	255
3226	"1"	"3"	51	14
2082	"1"	"1"	52	105
1324	"1"	"1"	53	202
1066	"0"	"3"	54	231
1216	"1"	"1"	55	219
672	"0"	"1"	56	260
1322	"0"	"1"	57	204
2770	"0"	"2"	58	30
962	"0"	"3"	59	236
1563	"1"	"2"	60	177
518	"1"	"3"	61	272
2122	"0"	"2"	62	100
1815	"1"	"2"	63	145
2646	"1"	"3"	65	43
2730	"0"	"3"	66	35
1294	"0"	"3"	67	209
1124	"0"	"3"	68	226
1229	"0"	"3"	69	217
3154	"1"	"3"	70	17
609	"0"	"2"	71	267
1667	"1"	"3"	72	164
1285	"0"	"2"	73	212
1744	"1"	"1"	74	155
887	"0"	"3"	75	247
1959	"1"	"3"	76	125
3957	"1"	"3"	77	3
1415	"0"	"3"	78	195
293	"0"	"1"	79	282
1318	"0"	"1"	80	206
4019	"1"	"3"	81	2
4168	"1"	"3"	82	1
1566	"0"	"2"	83	176
1813	"1"	"3"	84	147
2581	"1"	"2"	85	51
1026	"0"	"1"	86	233
2140	"1"	"3"	87	95
330	"1"	"1"	88	279
2030	"0"	"3"	89	117
178	"1"	"2"	90	288
2213	"0"	"1"	91	88
2026	"1"	"1"	92	118
1906	"1"	"1"	93	134
656	"1"	"1"	94	262
2588	"1"	"3"	95	49
2502	"0"	"2"	96	60
1979	"0"	"1"	97	122
2450	"0"	"3"	98	64
1509	"1"	"2"	99	184
