"tv_adspend"	"online_adspend"	"radio_adspend"	"sales"
68.6	10.3	24	8.6
136.6	29	40	15.8
14.5	44.3	25	11.8
214.6	26.2	40	17.1
285	13.9	31	17.4
139.6	74.9	24	24.4
274.3	31.1	12	19.5
12.3	14.1	9	4.7
270.6	24.5	38	20.7
298.7	13.9	18	19.5
18	15.9	23	6.6
257.3	32.8	30	18.9
118.3	30.4	34	12.6
211.8	8.2	34	15.6
244.5	21.9	52	19.9
155.7	5.3	36	12
175	16.6	50	10.4
127.6	10.7	12	7.7
35.6	30.4	15	10.2
251.4	48	21	22.6
17.8	32.1	26	10.5
59.7	9	62	11.1
87.5	42.6	34	13.7
103.2	32.9	31	12.3
274.6	34.6	37	20.9
299.5	22.1	20	18.9
84.3	27.8	51	9.3
249.4	64.2	11	23.2
158.8	24.9	32	14.2
287.8	24.4	5	24.8
15.7	38.9	30	12.8
50.5	14.8	59	9.3
48.3	21.2	31	13.8
177.4	41.6	14	22.6
262.1	58.4	12	29
135.3	20.4	37	14.1
142.8	14.6	40	12.9
164	21	12	12.8
115	52.5	43	18.8
203.8	36.3	51	19.3
191.5	23.9	40	18.7
138.3	49.8	11	18.5
253.9	21.8	32	20.3
94.6	8.1	27	8.5
130.2	15.7	14	13.2
249.7	13.5	24	19.4
51.9	40.2	17	14.9
217.5	14.7	26	13.5
156	35.9	27	16.7
84.5	25.5	6	12.1
39.8	31.9	35	12.3
95	43.6	27	18
290.1	3.7	28	16.1
287.9	24.1	19	22.6
4.1	8.2	19	3.4
179.4	24.7	36	17.4
252.1	22.1	38	18.7
101.9	46.3	25	14.9
234.8	48.1	34	23.5
230.4	18.2	37	16.6
48.8	15.3	5	7.6
243.6	35.7	10	17.5
173	37.5	41	17.1
235.9	35.3	21	23.3
93.5	20.5	18	10.5
251.2	35.8	10	24
293.3	2.2	28	16.7
212.2	31.8	31	19.5
82.7	8.9	39	7.7
220.8	23.8	13	20.4
61.7	27.5	24	16.2
271.9	50.6	39	26.3
257.7	26.5	28	20.2
259.6	31	48	19
230.9	5.4	40	18.5
13.2	37.1	10	14.4
290.2	26.6	41	18.8
234.2	36.1	12	24.9
222.9	32.2	20	16.1
291.1	27.8	46	22
294.6	32.6	43	18.1
23.2	12.6	23	7.8
282.1	23	34	21.8
294	23.7	29	20.3
67.7	18.3	24	7.6
114.2	27.9	5	17.4
213.9	10.9	28	16.9
41.1	13.6	46	10.2
216.7	38.5	29	16.7
133	15.1	27	14.5
36.2	30.7	12	11.8
39.7	16.1	35	7.8
179.2	25.1	19	15.9
1.1	14.6	37	3.5
286.1	19	26	19.8
127.5	18.6	32	7.4
90.7	18.3	30	9.5
48.2	3.8	21	5.8
173.4	12.9	36	11.9
162.7	47.5	13	19
295.3	10.3	2	18.9
229.4	58.4	52	27.3
88.1	52.5	18	17.6
22.9	10.3	16	6.5
71	5.2	29	12.4
50.3	17.3	12	8.8
239.8	30.2	47	18.9
193.7	22	25	12.4
152.1	18.6	35	14
142	35.7	24	13
154.6	10.2	38	13.6
281.8	16	8	18.5
14.8	32.3	36	8
291.7	36.5	11	26.5
95.4	7.1	25	8.1
49.6	12.9	47	10.5
91.1	34.8	30	13.2
290	39.5	40	20.8
228.1	14.2	18	20.4
131.9	24.9	43	13.3
36.5	27.4	10	11.3
40.5	9.5	7	7.2
52.2	17	30	6.2
81.4	30.9	22	11.6
251.6	25.7	49	17.8
102.7	28.4	34	16.6
272.1	20.2	36	23.4
242.8	24.3	45	19.8
299.6	5.2	32	15.9
149.5	25.3	38	12.2
292	18.5	18	24.5
81.3	21.6	25	11
194.6	22.6	63	19.6
82.6	15.9	5	9.6
84.9	2.6	41	7.3
274.3	16.5	10	20.7
113.7	10.2	6	11.8
152.2	6.7	23	8.9
283	52.3	30	26
230.3	43.9	53	21.4
120.6	43.4	20	14.6
113.3	15.7	13	10.1
90.3	10	21	6.8
14.8	19.6	41	6.1
40.4	44.4	25	12.6
11.8	16.6	39	9
108.8	6.4	54	11
281	31.1	24	21.6
132.6	9.8	43	11.5
177.1	25.5	40	14.6
141.7	20.9	41	11.7
147.6	29.5	34	16.6
60.2	1.6	23	8.6
242.2	37.6	18	22.5
108.7	3.6	30	10.1
94	27.3	44	12.7
37.6	40.7	27	13
207.5	2.1	16	14.8
287	36.5	19	21.9
114.7	14.9	36	12.6
209.4	27.2	19	15.6
185.6	27.2	41	17.2
298.3	25.5	25	21.5
297.9	43	15	27
207.6	50.5	26	19.4
116.4	3.6	31	12.3
67.9	21.3	48	13.3
268.9	49.7	22	23.4
58.4	12.2	11	6.7
149.4	24.4	23	11.8
155.3	31.2	9	15.6
61.9	39.8	41	13.5
131.8	12.2	15	10
79	6.6	12	9
239.7	11.8	23	16.8
256.8	6.5	34	12
33	68.7	21	18
10.4	32.3	32	12.6
14.1	44.7	35	13.2
13.8	23.9	32	8.5
65.8	41.8	43	12.1
219.1	18.5	16	17.7
67.4	47.4	23	13.1
88.6	25	24	10
72.6	47	29	12.8
253.7	32.6	28	19.7
138.5	46.8	18	18.5
65.1	17.7	9	8
33.4	26.9	23	7
106.1	33.5	4	15.1
46.2	5.5	30	5.6
165.9	27.5	42	16.7
70.2	33.5	17	11.9
215.4	12.6	21	16.9
24.1	32.1	23	12.2
235.6	17.6	13	18.2
176.3	55.1	20	20
36.7	5.9	34	7.4
109.1	24.9	28	10.7
29.1	6.5	48	1.4
27.7	41	14	11.5
138.5	64.4	39	23.2
175.2	38.2	15	18
106.6	19.8	24	12.5
168.4	53.4	31	22.9
13.4	13.3	13	5.4
35.7	49.5	11	17.7
168.3	11.5	40	9.9
67.3	23.3	43	9.3
2.6	14.5	23	5.4
194.5	42.7	39	18.9
249.4	38.1	46	25.7
121	33.9	10	15.3
37.5	22.2	24	10
101.9	37	15	20.5
274.6	25.6	16	22.1
61.8	39.5	30	14.2
194.4	4.2	44	12.9
194.3	21.4	23	16.7
57.4	10.1	51	7.3
132	17.7	20	12.7
145.8	20	22	13.6
13.1	36.2	12	10.6
121.3	26.4	25	11.1
220.3	7.9	28	11.3
211.4	5.5	21	13.6
165	15.7	36	12.9
48.4	48.9	23	17.1
145.3	18.4	34	13.4
41.2	22.7	34	8.5
111.2	32.3	34	12.2
143.7	24.3	35	13.6
143	22.1	43	11.9
221.1	10.6	42	17.1
286.3	8.1	9	21.3
160	25	18	15.9
