"tv_adspend"	"online_adspend"	"radio_adspend"	"sales"
164.7	71.3	37	22.3
247.5	21.4	33	16.4
159.5	17.4	18	14.8
279.1	38.7	8	22.6
261.8	13.1	10	15.4
64.5	16.4	39	7.2
54.9	28.5	43	9.9
105.1	38.6	42	14.3
212.2	77.3	28	27.5
256.9	45.3	16	23.9
23	7	32	5.8
110.7	12.8	5	11.7
261.8	44.8	27	20.5
282.9	16.6	37	19.7
154.7	14.2	45	11.5
50.7	12.4	29	8.2
205.5	11.6	5	13.2
23.8	14.3	33	9.9
252.8	12.2	4	18.9
222.2	34.6	24	18.9
84.3	9.6	20	12
100.3	8.8	27	6.7
137.5	6.2	26	9.5
79.9	34.9	19	13.8
221.3	24.7	46	18.9
271	11.2	37	20.1
178.9	45.6	25	21.2
241.6	29.5	35	20
149.7	10.9	33	10.8
181	9.5	2	15.6
33.1	36.4	14	12.4
29.1	28.7	15	11.8
290.4	9.2	30	20.1
39.3	37.6	41	11.7
0.9	8.9	28	5.8
48.9	29.5	37	9.8
190.1	14.4	25	13.7
80.8	48.5	15	13.4
196.8	14.4	17	15.9
78.2	42.7	42	14.8
202.8	10.1	22	14.3
193.7	57.7	40	22.8
73.5	60.5	12	18.2
268.2	8.8	38	20.9
76.1	23	16	13.6
76.5	26	19	11.8
39.5	7	13	6
225.2	53.5	29	24.7
155	12.5	37	14.1
228.8	17.3	22	16
65.3	17	6	8.2
247.2	32.4	37	19.7
111.8	11.3	27	10.5
147.3	11.8	24	10.5
205.7	25.8	25	17.6
47.7	8.9	43	4.4
37.9	41.8	26	16.2
35.6	14.9	22	8.4
122.3	35.6	42	14.4
180.5	32	26	18
176.3	49.2	25	20.9
284.9	27.3	31	21.1
219.1	1.8	19	14.4
58.8	20.7	8	10.4
34.1	44.6	25	15.5
241.1	20.7	21	14.4
20.4	11.6	16	2.3
193.6	23.1	24	18.9
185.1	17.5	32	17.8
45.6	2.7	13	5.7
58.6	46.3	28	16.6
77	4.6	25	8.8
182.5	21.9	17	18.7
17.8	39.2	22	10.5
140.7	13.8	9	10.9
189.2	20.7	27	16
106.9	20.4	50	13
211.7	21.6	24	17.3
105	10.6	43	7.5
192.8	42.6	4	20.5
273.8	17.2	3	20.1
188.6	11.7	34	14.6
282.9	9.4	6	16.9
76.9	10	16	8
252.9	29	42	22.9
121.3	11.6	22	8.6
24.6	13.4	28	7.8
198.6	28.5	25	15.5
63.9	26.2	30	8.6
75.2	30.5	36	15.4
243.5	22	28	18.1
247.1	34.1	52	18.4
227.4	42.3	21	21.1
228	10.9	14	16.9
59.1	25.3	26	11
17.5	30	19	8.9
165.7	34.9	21	13.9
93.9	34.8	32	13.3
50.5	25	19	11.3
270.4	24	46	20.6
