"tv_adspend"	"online_adspend"	"radio_adspend"	"sales"
145.7	31.5	39	14.5
240.7	12.4	9	15.6
286.4	9.9	5	16
138.5	7.2	27	11.4
149.3	21	34	11
189.8	36.7	68	18.7
143.5	1.3	28	7.4
153.8	18.4	39	10.3
132.3	11.9	26	9
295.9	16.5	22	17.8
131.4	10.3	7	10.4
102.9	35.8	24	12.6
109.8	19.8	13	8.2
187.3	6.9	11	14
0.1	31	50	8
222.6	44.1	16	22.4
110.8	29.5	12	16
275.5	46	20	25.7
278.9	24.6	21	18.2
216	25.6	11	16.1
152	25.4	18	17.6
52.7	36.7	44	11.4
82.1	25.6	25	11
128.3	9.5	31	10.8
259.2	13.2	28	14.8
150.3	13.2	4	13.2
185.6	12.9	33	11.6
207	38.2	22	22.2
156.5	34.8	5	14.3
182.5	14.8	18	15.7
157.2	35.8	51	15
210.4	8.9	17	13.8
179.3	30.5	22	16.8
258.2	31.9	19	16
130.3	24.7	14	14.6
160.1	26.2	40	15
214.5	3.2	50	9.9
260.8	36	9	21.5
141.5	35.9	42	15.9
42.9	19.1	11	5.8
8.5	13.9	42	2.1
178.7	10.2	45	15.2
117.6	30.8	23	16.3
50.7	7.2	46	6.4
234.4	39.5	19	23.5
266.5	14.5	29	20.3
246.8	30.5	13	25.4
223.9	18.7	41	19.2
44.1	7.2	30	2.6
127.5	41	19	16.2
82.6	13.2	37	10.4
99.9	10.6	1	11.2
298.5	40.4	39	21.6
265	45.2	39	24.8
179.2	26.1	18	14.6
24	29.9	35	8.3
186.2	15.4	24	16.8
137.1	6.8	5	7.3
6.3	31.5	28	11.8
84.4	18.3	36	9.9
239.3	20.5	27	18.4
167.3	8.6	30	11.3
19.8	32.7	23	9.7
294.3	4.2	5	20.3
70.2	50.1	20	15.3
29.3	4.9	41	7.3
109.8	20.1	7	15.9
282.6	11.9	16	16.5
247.7	29.9	37	19.5
214.6	9.8	25	11.5
148.9	22.4	3	13.4
256.6	9	19	15.6
145.8	7.1	34	15.5
161.1	13.1	36	12.4
147.8	13.3	43	13
155.9	36.9	35	17
194.9	21.5	1	12.3
29.8	31.9	22	12.7
76.7	8	44	7.3
212.5	30.1	27	18.8
169.4	39	29	20.5
92.1	10.9	39	8
171.1	19.1	7	18.4
