"tv_adspend"	"online_adspend"	"radio_adspend"	"sales"
240.7	28.6	42	21.5
152.1	11.5	10	11.6
127.2	36.2	20	14.5
113.2	8	10	10.7
110.9	24	17	15.1
7.6	3.2	18	2.2
134.8	6.6	19	9.6
244.6	32.3	47	20.6
93.3	9.3	22	12.2
155.5	34.7	34	16.8
179.7	12.9	8	14.2
87	11.5	30	6.8
31.6	10.8	43	6.8
241.4	17.9	14	17.7
125.4	13.2	13	8.2
276.7	26	23	17.4
162.9	26.3	10	15.8
254.6	13	19	16.6
182.2	61.4	6	23
227	36.8	52	21.4
146.5	12	18	11.3
297.9	9	2	17.3
22.3	26.1	21	8
202.2	25.4	6	14.3
39.4	14.1	33	9.1
137.2	43.1	8	17
5.6	28.7	18	10.5
1.6	28.9	4	5.4
139.9	21	34	12.8
181.4	13	3	10.4
154.6	24.8	31	14.3
14.4	12.5	29	6.5
111.4	28.2	37	14.1
232.5	41.5	58	20.2
203.9	13.5	19	14.9
139.5	7.6	14	11.1
187.9	25.3	28	19.5
5.6	21.9	36	6.7
86.2	32.2	28	14
216.6	39.9	38	21.9
221.7	43.9	48	21.3
63.2	12.7	43	7.1
22.6	33.9	33	8.1
199.1	28.9	28	18.4
240.4	45.5	37	25.4
57.3	29.9	46	7.7
165.2	18.4	10	13
252.3	16.9	46	20.9
125	21.8	16	15.6
102.8	12.5	14	8.9
131.3	17.8	27	11.1
59.5	17.8	19	8.1
23.2	2.1	25	2.5
266.1	7.2	37	14.7
252.8	27.5	13	22.8
162.3	19.3	24	10.7
14.7	33.3	16	7.9
253.9	10	23	16
206	16	22	13.3
29.2	41.8	13	13.4
42.8	12.4	31	5.2
57.5	9.3	14	5.6
103.9	33.8	11	13.1
178.4	29.5	39	15.8
50.1	10.7	24	6.4
74.4	9	34	8.4
243.1	9.3	15	20.5
92.2	7.5	18	7.7
0.9	13.2	30	6.6
169	35.2	33	17
186.6	38.3	28	14.8
137.6	36.1	20	11.8
286.5	20.5	8	19.4
137.3	23.5	23	13
59.6	13.1	11	11.4
24	20.7	19	5.3
180.2	6	22	10.7
164	71.2	21	20.6
111.3	18.2	44	12.8
11.7	10.8	32	6.9
192.1	37.7	9	16.9
86.4	17.5	12	8.9
0.6	61.9	16	14.7
56.1	57.7	15	16.4
214.6	11.1	21	13.4
203.8	16.3	40	16.1
14.1	14.2	36	2.8
167.6	33.9	21	21.7
187.8	24.8	24	18
186.1	26.3	14	17.8
173.3	17.8	39	13.9
243.2	3.6	24	14.1
158.8	43	15	18.8
217	8.2	3	14.9
47	13.2	5	6.7
258.2	10.4	27	17.7
0.6	6.9	25	4.1
188.8	11.5	51	9.2
203.4	24.5	8	17
3.8	37.1	26	14.8
147.6	26.3	18	17.9
93.1	19.3	42	12.4
116.1	16.2	40	9.3
116.7	20.8	15	12.6
227.8	43.5	25	21.9
247.7	42.1	11	18.7
180.2	3.3	31	11.7
206.3	43.7	13	16.8
91.6	22	1	10.8
31.4	37.6	20	11.5
108.1	11.4	19	9.6
152.5	32.8	23	15.1
45.1	26.3	20	11.4
192.6	22.6	54	16.2
195	66.5	15	24.5
205.4	12.9	45	14.8
270.5	54.7	50	27.7
150.4	39.8	54	13.3
35.6	9	15	7.1
229.2	7.8	32	19.3
157.5	22.2	66	16.9
220.4	24.8	5	11.5
271.5	33.9	34	25.2
258	24.3	16	17.8
267.5	17.7	28	22.9
155.2	24.5	8	10.9
165.7	11	18	10.1
262.7	24.5	56	24.9
12.4	18	27	5.9
147.1	38.1	29	19.1
40.9	15.7	50	9.1
188.1	3.3	27	12.7
111.5	39.2	79	16.8
101.8	23.8	40	7.4
177.7	50.6	36	25.8
35.7	32	46	16.1
126.9	19.7	45	8.3
11.3	16	8	9.1
29	11.6	27	5
26.4	43.6	14	14.1
76.3	25.8	30	7.9
260.3	13.5	40	15.4
11.4	47.9	40	15.2
43.5	19.8	36	7.2
250.9	42.8	21	24.7
132.6	10.4	34	11
42.2	38.5	43	14.1
53.5	70.7	33	20.9
196.3	43.6	35	19.1
53.1	9.5	31	3.8
212.4	33	30	18.3
55.5	62.8	21	20.7
36.6	14.4	25	8.7
70.6	32.7	31	11.4
184.3	37.2	25	20.2
183.6	15.3	34	14.1
204.8	26	5	16.3
232.8	27.3	36	20.7
271.3	19.8	31	18.8
22.4	17.1	28	9.7
80.5	33.8	30	12.1
192.6	8.2	10	13
163.8	21.2	35	12.5
65.9	24	30	9.7
233.9	4.6	5	14.6
223.6	35.5	28	21.2
33.1	16.7	30	8.9
255.5	18.8	9	20.4
137.8	3.7	37	10.8
55.8	20.5	37	5.5
133.5	12.5	10	10.2
139.6	2.2	18	10.3
103.9	32.3	13	14
254.7	13.5	55	21
256.7	17.3	44	17.7
279.3	34.5	43	21.9
168.9	30.4	41	20.8
251.5	18.9	28	18.9
65.4	17	13	10.8
84.8	19.8	31	13.7
51.2	3.7	38	5
158.2	28.3	23	12.7
30.4	31.5	17	8.6
236.2	5.2	46	14.7
101.2	63.3	38	19.2
71.4	13.1	28	12.9
171.7	5.3	9	13.9
241.8	9.7	36	12.7
76.9	26.4	32	9.2
19.1	16.3	2	10
108.5	23.7	22	10.6
80.1	5.1	29	6.9
45.9	5.1	26	3.5
111.6	2.5	46	7.4
54.4	11.9	21	7.1
66.2	12.3	36	9.2
88.5	8.7	23	10.2
64.5	30.9	6	12.8
176.6	33.9	14	18.7
172.5	19.9	34	16.6
197.2	10.5	36	12.3
199	8.5	42	15.1
299.8	36.4	21	23.1
79.1	33.1	26	16.4
57.8	10	27	5.2
97.5	30.7	19	12.4
32.5	35.2	52	10.5
1.6	28.4	1	11.8
297.4	14	32	21.8
264	14.5	40	15.7
141.7	54.9	30	18.8
264.2	33	21	23.8
212.6	24	10	16.9
249.8	36.7	17	21.8
119.9	20.9	18	10.2
121.1	30.8	51	13.7
102	36.8	50	15.7
15.4	21.1	59	9.3
140	19.5	65	11.9
35.7	25.7	31	10.5
50.8	5.7	33	4.4
138.1	36.1	27	15.4
37	29.7	23	9.3
252.9	10.1	22	13.8
154.2	69.2	23	22.9
137.1	16.5	46	13.5
142.4	18.5	28	13.6
160	8.4	31	12.3
200	24.4	38	18.7
267.7	40.5	25	21
242.3	5.9	37	15.4
255.7	27.9	30	22.6
161.9	41.5	18	13.7
96.9	24.2	19	11.1
180.3	38.2	16	20.5
299.1	7.4	48	15.4
0.9	14.3	36	7.2
