"tv_adspend"	"online_adspend"	"radio_adspend"	"sales"
51.6	33.1	25	13.2
195.4	5.4	38	13.1
185	8.5	3	9.5
136	8.4	25	11.5
201.5	27.2	27	17.8
223.1	30.3	34	21
267.4	16.4	50	17.5
201.8	17.5	28	16.8
239	5.7	19	17
79.3	34.4	2	13.4
36.8	33.4	13	11
201.9	18	52	12.1
11.6	29	44	12.4
64.9	9.9	26	10.4
54.4	11.8	27	10.8
84	65.6	13	19.2
195.5	25.6	51	20.2
32.6	10.1	29	7.5
1	25.2	51	6.8
215.4	34.8	26	17.1
10.9	27.2	32	12.6
29.9	16.3	27	7.6
146	45	32	19.5
119.2	18.3	15	9.2
81.5	25.8	24	11.8
283.7	37.8	26	21.2
3.3	41.2	8	10.9
252	5.4	10	16.1
45.4	43.5	13	13.2
174.3	33	15	19.1
218.1	7.2	14	11.5
88.1	32.8	16	12.6
298	50.3	30	28.3
299.8	39.3	27	24.4
148.9	6.4	35	11.9
39	12.5	31	11
110.7	10.3	37	7.4
85.3	30.3	14	13.5
254.5	16.8	17	21.2
191.6	17.3	42	15.1
19.2	9.7	33	3.8
24.1	9.6	21	5
261.5	29.1	49	18.9
231.3	19.7	37	18.8
20.9	10.7	16	12.2
254.8	24.8	29	20.2
252	44.7	31	20
193.1	25.2	23	21.1
71.8	31.1	43	10.4
1.9	8.7	17	2.8
185.4	29.1	11	15.4
23.1	17.6	25	5.1
136	34.7	11	16.1
262	3.2	26	11.6
235.7	4.9	1	13.5
73	22.6	24	9.5
120.4	4.5	31	6.1
192.2	42.2	26	19.4
135.6	21.2	24	11.1
35.4	9.6	32	8.3
7.8	30.9	18	8.1
238.8	7	17	13.9
151.5	50.4	47	21.3
29.9	25.8	41	12.8
85.4	3.5	17	7.5
24.4	7.4	31	6.8
174.7	42.9	12	20.9
220.6	42.7	14	21.1
157.2	29.5	45	18.2
194.9	13.9	34	15.2
222.2	41.5	22	21.6
82.7	22.6	46	12
11.9	33	14	11.5
110.7	27.1	28	14.6
36	15.7	20	9
105.1	11.2	24	13.3
30.8	9.8	26	8.3
246.4	49.6	4	22.6
119.5	16	2	10.7
255.6	27	32	19.9
2.7	31.9	27	11.9
290.9	3.9	30	16.8
291.2	45.5	5	25.2
32.5	30.1	50	12.1
60	46.3	20	10
248.6	32.4	21	19.9
186.7	12.8	13	14
137.1	4.8	38	7.8
286.1	32.2	41	23.6
47.1	38.4	20	11.6
17.3	42.1	33	8.5
119.3	52.8	48	16.2
77.6	19.7	38	9.5
198.8	9.4	60	11.3
101.5	14.1	19	11.5
156	28.1	24	17.3
73.2	8.6	23	14.3
94.9	24.2	35	12.7
34.9	37.9	31	9.7
151.4	37	16	14.6
142.9	20.1	6	13
116.5	28	35	14.2
164.9	8.9	44	14.2
89.7	4.5	35	10
125.7	28.3	44	15
148.6	31.2	17	14.1
122.3	25.8	45	11
78.2	30.8	39	15
195.4	37.9	36	14.5
253.6	11.7	48	14.6
76.2	1.5	42	10.6
169.9	21.9	9	15
103.5	30.9	43	13.6
244.9	32.5	36	23.7
144.2	8.6	34	11.7
205.3	14.8	21	15.6
211.9	35.7	34	19.6
126.2	18	15	12.2
1	38.1	20	11.2
